,Ticker,Quarter,Industry,InfoDiversity,Analyst,InfoContribution,GenderAnalyst,Contributor
0,COST,2018 q4,3010,0.48770408637537876,"Charles E. Cerankosky, Jr",0.46135227840803666,male,Northcoast Research
1,COST,2018 q4,3010,0.48770408637537876,Karen Short,0.2378824045690433,female,Barclays
2,SYY,2018 q4,3010,0.5394863816813695,Karen Short,0.8550561017167244,female,Barclays
3,WMT,2018 q4,3010,0.5541121092678267,Karen Short,0.35826724591786885,female,Barclays
4,COST,2018 q4,3010,0.48770408637537876,"Scot Ciccarelli, CFA",0.30666205264423707,male,RBC Capital Markets
5,WMT,2018 q4,3010,0.5541121092678267,"Scot Ciccarelli, CFA",0.33882166742003555,male,RBC Capital Markets
6,COST,2018 q4,3010,0.48770408637537876,Zain Akbari,0.4595778785330577,male,"Morningstar, Inc."
7,KR,2018 q4,3010,0.5363278322337355,Zain Akbari,0.4194191910987303,male,"Morningstar, Inc."
8,WMT,2018 q4,3010,0.5541121092678267,Zain Akbari,0.3268874999865429,male,"Morningstar, Inc."
9,COST,2018 q4,3010,0.48770408637537876,Mr. John E. Heinbockel,0.1951875380919056,male,Guggenheim Securities LLC
10,SYY,2018 q4,3010,0.5394863816813695,Mr. John E. Heinbockel,0.5139056230501503,male,Guggenheim Securities LLC
11,WBA,2018 q4,3010,0.5275520205247035,Mr. John E. Heinbockel,0.22130256736589796,male,Guggenheim Securities LLC
12,COST,2018 q4,3010,0.48770408637537876,Mike Baker,0.4010050625677217,male,Deutsche Bank
13,COST,2018 q4,3010,0.48770408637537876,Ms. Catherine A. Seifert,0.3530273398706744,female,CFRA Equity Research
14,KR,2018 q4,3010,0.5363278322337355,Ms. Catherine A. Seifert,0.537038874008074,female,CFRA Equity Research
15,COST,2018 q4,3010,0.48770408637537876,Jeffrey Drotar,0.20031032882754674,male,Jefferies
16,COST,2018 q4,3010,0.48770408637537876,Mr. Rupesh Parikh,0.5375659657968647,male,"Oppenheimer & Co., Inc."
17,KR,2018 q4,3010,0.5363278322337355,Mr. Rupesh Parikh,0.4603967394970125,male,"Oppenheimer & Co., Inc."
18,WMT,2018 q4,3010,0.5541121092678267,Mr. Rupesh Parikh,0.2642593057299678,male,"Oppenheimer & Co., Inc."
19,COST,2018 q4,3010,0.48770408637537876,Scott A. Mushkin,0.2067780147246816,male,Wolfe Research
20,KR,2018 q4,3010,0.5363278322337355,Scott A. Mushkin,0.23514767274517454,male,Wolfe Research
21,WBA,2018 q4,3010,0.5275520205247035,Scott A. Mushkin,0.37621577585572696,male,Wolfe Research
22,WMT,2018 q4,3010,0.5541121092678267,Scott A. Mushkin,0.34444445899575193,male,Wolfe Research
23,COST,2018 q4,3010,0.48770408637537876,"Mr. Simeon Gutman, CFA",0.5858727073611221,male,Morgan Stanley
24,WMT,2018 q4,3010,0.5541121092678267,"Mr. Simeon Gutman, CFA",0.3499364589788473,male,Morgan Stanley
